"A" Cell Breeding Device;7128
"A" Cell Incubator;7315
"A" Cell Recombination Device;12653
"A" Cell Scatter Burst;6994
1st Movement Solo;11391
3-Hump Lacooda;6032
30,000-Year White Turtle;65565
4-Starred Ladybug of Doom;5139
7;6053
7 Colored Fish;4446
7 Completed;4806
8-Claws Scorpion;5421
A Cat of Ill Omen;5520
A Deal with Dark Ruler;5722
A Feather of the Phoenix;6266
A Feint Plan;5332
A Hero Emerges;5915
A Hero Lives;7187
A Legendary Ocean;5387
A Major Upset;8370
A Man with Wdjat;5518
A Rival Appears!;6443
A Wild Monster Appears!;11584
A Wingbeat of Giant Dragon;5343
A-Assault Core;12582
A-Team: Trap Disposal Unit;6202
A-to-Z-Dragon Buster Cannon;12589
A/D Changer;8936
Abaki;6937
Abare Ushioni;6255
ABC-Dragon Buster;12590
Absolute Crusader;9653
Absolute End;6141
Absolute King Back Jack;11642
Absorb Fusion;11453
Absorbing Jar;10060
Absorbing Kid from the Sky;6034
Abyss Actor - Curtain Raiser;13137
Abyss Actor - Evil Heel;12710
Abyss Actor - Extras;12714
Abyss Actor - Funky Comedian;12711
Abyss Actor - Leading Lady;12715
Abyss Actor - Sassy Rookie;12713
Abyss Actor - Superstar;12712
Abyss Actor - Trendy Understudy;12697
Abyss Actor - Twinkle Littlestar;65565
Abyss Actor - Wild Hope;12716
Abyss Actors Back Stage;12722
Abyss Dweller;10354
Abyss Flower;65565
Abyss Prop - Wild Wagon;12720
Abyss Script - Abysstainment;13138
Abyss Script - Fantasy Magic;12717
Abyss Script - Fire Dragon's Lair;12719
Abyss Script - Opening Ceremony;12718
Abyss Script - Rise of the Abyss King;12721
Abyss Soldier;5927
Abyss Stungray;11752
Abyss Warrior;10250
Abyss-scale of Cetus;10420
Abyss-scale of the Kraken;10278
Abyss-scale of the Mizuchi;10545
Abyss-scorn;10434
Abyss-sphere;10294
Abyss-squall;10293
Abyss-strom;10295
Abyssal Designator;6132
Abyssal Kingshark;7336
Accel Synchron;11629
Accellight;10342
Accidetonation;65565
Accumulated Fortune;6916
Achacha Archer;9620
Achacha Chanbara;10225
Acid Crawler;65565
Acid Rain;4666
Acid Trap Hole;4691
Acidic Downpour;7457
Acorno;9724
Acrobat Monkey;5705
Acrobatic Magician;12408
Adhesion Trap Hole;5624
Adhesive Explosive;6589
Adreus, Keeper of Armageddon;9846
Advance Draw;8337
Advance Force;8659
Advance Zone;10319
Advanced Dark;10214
Advanced Heraldry Art;10277
Advanced Ritual Art;6996
Aegaion the Sea Castrum;12163
Aegis of Gaia;7053
Aegis of the Ocean Dragon Lord;8366
Aerial Recharge;10554
Aether, the Empowering Dragon;11136
Aether, the Evil Empowering Dragon;11873
After the Storm;10425
After the Struggle;5394
Against the Wind;8202
Aggiba, the Malevolent Sh'nn S'yo;8610
Agido;5366
Air Armor Ninja;9888
Air Cracking Storm;13094
Air Eater;65565
Airknight Parshath;5023
Airorca;9638
Aitsu;5642
Akakieisu;65565
Akashic Magician;13267
Akihiron;65565
Akz, the Pumer;9039
Al-Lumi'raj;12145
Alchemic Magician;10177
Alchemist of Black Spells;8754
Alchemy Cycle;7467
Alector, Sovereign of Birds;7782
Aleister the Invoker;12843
Alexandrite Dragon;9863
Alich, Malebranche of the Burning Abyss;11506
Alien Ammonite;8034
Alien Brain;8686
Alien Dog;8185
Alien Grey;6800
Alien Hunter;6803
Alien Hypno;7300
Alien Infiltrator;6897
Alien Kid;8142
Alien Mars;6801
Alien Mother;6805
Alien Overlord;8033
Alien Psychic;6987
Alien Shocktrooper;7190
Alien Skull;6802
Alien Telepath;7299
Alien Warrior;6804
Alinsection;65565
All-Out Attacks;7474
Alligator's Sword;4767
Alligator's Sword Dragon;5003
Allure of Darkness;7570
Allure Queen LV3;6870
Allure Queen LV5;6871
Allure Queen LV7;6872
Ally Mind;7960
Ally of Justice Catastor;7552
Ally of Justice Clausolas;7540
Ally of Justice Core Destroyer;8813
Ally of Justice Cosmic Gateway;7965
Ally of Justice Cycle Reader;8409
Ally of Justice Cyclone Creator;7840
Ally of Justice Decisive Armor;8417
Ally of Justice Enemy Catcher;7963
Ally of Justice Field Marshal;7973
Ally of Justice Garadholg;7541
Ally of Justice Light Gazer;7836
Ally of Justice Nullfier;7961
Ally of Justice Omni-Weapon;8407
Ally of Justice Quarantine;8408
Ally of Justice Reverse Break;8111
Ally of Justice Rudra;7542
Ally of Justice Searcher;7962
Ally of Justice Thousand Arms;7826
Ally of Justice Thunder Armor;7964
Ally of Justice Unknown Crusher;7827
Ally of Justice Unlimiter;8112
Ally Salvo;7825
Alpacaribou, Mystical Beast of the Forest;10105
Alpha The Electromagnet Warrior;12573
Alpha The Magnet Warrior;4744
Alsei, the Sylvan High Protector;10938
Altar for Tribute;5792
Altergeist Camouflage;13286
Altergeist Hextia;65565
Altergeist Kunquery;13231
Altergeist Marionetter;13228
Altergeist Materialization;65565
Altergeist Meluseek;13230
Altergeist Primebanshee;13263
Altergeist Protocol;13287
Altergeist Silquitous;13229
Altitude Knight;10517
Amano-Iwato;13252
Amarylease;10363
Amaterasu;12434
Amazing Pendulum;12643
Amazon of the Seas;4632
Amazoness Archer;5195
Amazoness Archers;5286
Amazoness Baby Tiger;13173
Amazoness Blowpiper;5646
Amazoness Call;13174
Amazoness Chain Master;5291
Amazoness Empress;13148
Amazoness Fighter;5295
Amazoness Fighting Spirit;8985
Amazoness Heirloom;9209
Amazoness Onslaught;13175
Amazoness Paladin;5645
Amazoness Pet Liger;13147
Amazoness Princess;13172
Amazoness Queen;8963
Amazoness Sage;8961
Amazoness Scouts;9203
Amazoness Shamanism;9210
Amazoness Spellcaster;5296
Amazoness Spy;13146
Amazoness Swords Woman;5284
Amazoness Tiger;5647
Amazoness Trainee;8962
Amazoness Village;8984
Amazoness Willpower;9003
Ambitious Gofer;8967
Ambulance Rescueroid;6744
Ambulanceroid;6736
Ambush Fangs;7226
Ameba;4490
Amores of Prophecy;10146
Amorphactor Pain, the Imagination Dracoverlord;12316
Amorphage Envy;12299
Amorphage Gluttony;12296
Amorphage Goliath;12303
Amorphage Greed;12298
Amorphage Infection;12335
Amorphage Lechery;12297
Amorphage Lysis;12344
Amorphage Pride;12301
Amorphage Sloth;12302
Amorphage Wrath;12300
Amorphous Persona;12334
Amphibian Beast;5066
Amphibious Bugroth;4645
Amphibious Bugroth MK-3;5893
Amplifier;4819
Amulet Dragon;10325
Amulet of Ambition;7224
An Owl of Luck;5523
An Unfortunate Report;7329
Anarchist Monk Ranshin;9113
Ancient Brain;4181
Ancient City - Rainbow Ruins;7079
Ancient Crimson Ape;8329
Ancient Dragon;10116
Ancient Elf;4439
Ancient Fairy Dragon;8090
Ancient Flamvell Deity;8728
Ancient Forest;8338
